w,eyedist,nosedist,area,target
273,128.44064777164587,54.85435260760991,3522.7642910078443,1
273,125.80540528928,54.99090833947008,3459.0767554363406,1
273,125.90075456485556,54.96362433464518,3459.9808886755427,1
273,121.66757990524839,50.0,3041.6894976312096,1
273,120.73524754602526,49.98999899979995,3017.7774520332014,1
273,122.73956167430288,50.96076922496363,3127.4512386286697,1
182,111.99553562530964,45.98912915026767,2575.2885760628847,1
182,103.92304845413264,43.89760813529594,2280.9866286324436,1
182,96.95359714832658,41.98809355043403,2035.4483535575152,1
182,93.95211546314431,39.98749804626441,1878.455016762446,1
182,90.97801932335085,39.949968710876355,1817.2845126726854,1
182,87.94884877018005,36.945906403822335,1624.6749674934986,1
182,87.94884877018005,37.94733192202055,1668.7120782208058,1
182,80.99382692526635,34.942810419312295,1415.0759696920868,1
122,76.99350621968063,32.93933818400121,1268.0575696710303,1
182,74.93997598078077,34.0,1273.979591673273,1
122,76.99350621968063,32.93933818400121,1268.0575696710303,1
182,74.93997598078077,34.0,1273.979591673273,1
182,82.94576541331088,37.0,1534.4966601462513,1
182,82.99397568498571,38.98717737923585,1617.8504257192626,1
182,85.99418584997477,37.986839826445156,1633.323681944274,1
182,73.93916418245476,32.0,1183.0266269192762,1
122,72.97259759663213,28.930952282978865,1055.5833695165911,1
182,105.95753866525968,43.95452195167182,2328.656479603636,1
122,69.9714227381436,28.982753492378876,1013.9822483653251,1
182,69.9714227381436,27.982137159266443,978.9749741438745,1
122,69.9714227381436,28.982753492378876,1013.9822483653251,1
182,69.9714227381436,27.982137159266443,978.9749741438745,1
122,67.97058187186572,27.92848008753788,949.1575211733825,1
122,64.96922348312314,26.92582403567252,874.6749396204283,1
122,64.9307323229917,25.92296279363144,841.5984790860781,1
122,63.968742366877905,25.92296279363144,829.1296641659856,1
122,63.968742366877905,25.92296279363144,829.1296641659856,1
122,65.93178292750773,24.979991993593593,823.4877048262468,1
122,65.93178292750773,25.98076211353316,856.4789839803426,1
122,66.97014260101288,27.982137159266443,936.9838579185877,1
122,67.97058187186572,26.92582403567252,915.0819635420644,1
122,68.97100840208152,26.981475126464083,930.4697738239539,1
122,68.99275324264136,27.982137159266443,965.2823421155075,1
122,67.97058187186572,26.981475126464083,916.9732820535177,1
122,67.93379129711516,26.981475126464083,916.4769500647575,1
122,67.93379129711516,26.981475126464083,916.4769500647575,1
122,65.81033353509159,25.98076211353316,854.9013100937442,1
122,65.87867636800242,25.92296279363144,853.8852381907068,1
122,64.8074069840786,25.92296279363144,840.0,1
122,64.8074069840786,24.979991993593593,809.4442537939225,1
122,66.88049042882386,26.92582403567252,900.4061583529957,1
122,62.71363488110062,25.92296279363144,812.8616118380792,1
122,63.61603571427569,24.919871588754223,792.6517204926763,1
122,61.603571325045756,24.919871588754223,767.576543414401,1
122,62.609903369994115,24.919871588754223,780.1153760822818,1
122,61.603571325045756,24.919871588754223,767.576543414401,1
122,60.473134530963414,23.916521486202797,723.1535106739094,1
122,58.45511098270193,24.919871588754223,728.3469296976544,1
122,61.48170459575759,24.919871588754223,766.0580917919998,1
